entity_id,name,sanction_program
2674,"ABBAS, ABU",SDGT
2675,"AL RAHMAN, SHAYKH UMAR ABD",SDGT
2676,"AL ZAWAHIRI, DR. AYMAN",SDGT
2677,"AL-ZOMOR, ABBOUD ABDUL LATIF HASSAN",SDGT
2678,"AWDA, ABD AL AZIZ",SDGT
2679,"FADLALLAH, SHAYKH MUHAMMAD HUSAYN",SDGT
2681,"HAWATMA, NAYIF",SDGT
2682,"ISLAMBOULI, MOHAMMAD SHAWQI",SDGT
2683,"JABRIL, AHMAD",SDGT
2685,"NAJI, TALAL MUHAMMAD RASHID",SDGT
2686,"NASRALLAH, HASAN",SDGT
2690,"TUFAYLI, SUBHI",SDGT
2691,"YASSIN, SHEIK AHMED ISMAIL",SDGT
3754,"ABU MARZOOK, MOUSA MOHAMMED",SDGT
4107,"RODRIGUEZ OREJUELA, GILBERTO JOSE",SDNT
4108,"RODRIGUEZ OREJUELA, MIGUEL ANGEL",SDNT
4257,"ABDALLAH, RAMADAN",SDGT
6365,"BIN LADIN, USAMA BIN MUHAMMAD BIN AWAD",SDGT
6367,"AL-MASRI, ABU HAFS",SDGT
6368,"MUSA, RIFA'I AHMAD TAHA",SDGT
6635,"OMAR, MOHAMMED",SDGT
6703,"AMEZCUA CONTRERAS, JOSE DE JESUS",SDNTK
6704,"AMEZCUA CONTRERAS, LUIS IGNACIO",SDNTK
6706,"ARELLANO FELIX, RAMON EDUARDO",SDNTK
6707,"CARO QUINTERO, RAFAEL",SDNTK
6708,"CARRILLO FUENTES, VICENTE",SDNTK
6709,"CHANG, CHI FU",SDNTK
6710,"HEATH, NOEL TIMOTHY",SDNTK
6712,"OGUNGBUYI, OLUWOLE A.",SDNTK
6713,"OGUNGBUYI, ABENI O.",SDNTK
6714,"WEI, HSUEH KANG",SDNTK
6715,"ARELLANO FELIX, BENJAMIN ALBERTO",SDNTK
6717,"HENAO MONTOYA, ARCANGEL DE JESUS",SDNT
6724,"GONZALEZ BENITEZ, OLGA PATRICIA",SDNT
6823,"PATINO FOMEQUE, VICTOR JULIO",SDNT
6831,"DUQUE BOTERO, JORGE ALIRIO",SDNT
6856,"AFGHAN, SHER",SDNTK
6857,"CARDENAS GUILLEN, OSIEL",SDNTK
6858,"CARO QUINTERO, MIGUEL ANGEL",SDNTK
6859,"CHANG, PING YUN",SDNTK
6860,"GILBOA, JOSEPH",SDNTK
6861,"GUZMAN LOERA, JOAQUIN",SDNTK
6862,"HAMIEH, JAMIEL",SDNTK
6863,"HIGUERA GUERRERO, ISMAEL",SDNTK
6864,"KHAN, NASIR ALI",SDNTK
6865,"MALHERBE DE LEON, OSCAR",SDNTK
6866,"RAMON MAGANA, ALCIDES",SDNTK
6901,"AL-ADL, SAYF",SDGT
6903,"AL-WALID, MAHFOUZ OULD",SDGT
6905,"HUSAYN, ZAYN AL-ABIDIN MUHAMMAD",SDGT
6906,"AL-IRAQI, ABD AL-HADI",SDGT
6907,"SHIHATA, THIRWAT SALAH",SDGT
6908,"AHMAD, TARIQ ANWAR AL-SAYYID",SDGT
6915,"ABDULLAH, ABDULLAH AHMED",SDGT
6916,"ALI, AHMED MOHAMMED HAMED",SDGT
6918,"AL-MUGHASSIL, AHMAD IBRAHIM",SDGT
6919,"AL-NASSER, ABDELKARIM HUSSEIN MOHAMED",SDGT
6920,"AL-YACOUB, IBRAHIM SALIH MOHAMMED",SDGT
6921,"ATWA, ALI",SDGT
6923,"EL-HOORIE, ALI SAED BIN ALI",SDGT
6924,"FADHIL, MUSTAFA MOHAMED",SDGT
6925,"GHAILANI, AHMED KHALFAN",SDGT
6926,"IZZ-AL-DIN, HASAN",SDGT
6927,"MOHAMMED, FAZUL ABDULLAH",SDGT
6928,"MOHAMMED, KHALID SHAIKH",SDGT
6931,"YASIN, ABDUL RAHMAN",SDGT
6938,"AGHA, HAJI ABDUL MANAN",SDGT
6939,"AL-AHDAL, MOHAMMAD HAMDI MOHAMMAD SADIQ",SDGT
6940,"AL-HAQ, AMIN",SDGT
6941,"HAMDAN, SALIM AHMAD SALIM",SDGT
6944,"AL-SHARIF, SA'D ABDULLAH HUSSEIN",SDGT
6945,"BIN MARWAN, BILAL",SDGT
6946,"BIN MUHAMMAD, AYADI CHAFIQ",SDGT
6947,"DARKAZANLI, MAMOUN",SDGT
6948,"HIJAZI, RIAD",SDGT
6950,"UTHMAN, OMAR MAHMOUD",SDGT
7006,"AWEYS, HASSAN DAHIR",SDGT
7133,"MAHMOOD, SULTAN BASHIR-UD-DIN",SDGT
7135,"MAJEED, ABDUL",SDGT
7138,"TUFAIL, MOHAMMED",SDGT
7148,"BOULGHITI, BOUBEKEUR",SDGT
7150,"AL-LIBI, ABD AL-MUHSIN",SDGT
7163,"AGUILAR AMAO, MIGUEL",SDNTK
7164,"AGUIRRE GALINDO, MANUEL",SDNTK
7166,"ARELLANO FELIX, ENEDINA",SDNTK
7167,"FREGOSO AMEZQUITA, MARIA ANTONIETA",SDNTK
7169,"GIL GARCIA, JOSE ALEJANDRO",SDNTK
7170,"HERNANDEZ PULIDO, MARIA ELDA",SDNTK
7172,"MIJARES TRANCOSO, GILBERTO",SDNTK
7173,"MORENO MEDINA, LUIS IGNACIO",SDNTK
7174,"OROPEZA MEDRANO, FRANCISCO JAVIER",SDNTK
7176,"RAMIREZ AGUIRRE, SERGIO HUMBERTO",SDNTK
7177,"TOLEDO CARREJO, LUIS RAUL",SDNTK
7178,"ABAUNZA MARTINEZ, JAVIER",SDGT
7179,"ALBERDI URANGA, ITZIAR",SDGT
7180,"ALCALDE LINARES, ANGEL",SDGT
7181,"ALBISU IRIARTE, MIGUEL",SDGT
7182,"ARZALLUS TAPIA, EUSEBIO",SDGT
7183,"ELCORO AYASTUY, PAULO",SDGT
7184,"FIGAL ARRANZ, ANTONIO AGUSTIN",SDGT
7185,"GOGEASCOECHEA ARRONATEGUI, ENEKO",SDGT
7186,"GOIRICELAYA GONZALEZ, CRISTINA",SDGT
7187,"IPARRAGUIRRE GUENECHEA, MARIA SOLEDAD",SDGT
7188,"MORCILLO TORRES, GRACIA",SDGT
7189,"MUGICA GONI, AINHOA",SDGT
7190,"MUNOA ORDOZGOITI, ALONA",SDGT
7191,"NARVAEZ GONI, JUAN JESUS",SDGT
7192,"OLARRA GURIDI, JUAN ANTONIO",SDGT
7193,"ORBE SEVILLANO, ZIGOR",SDGT
7194,"OTEGUI UNANUE, MIKEL",SDGT
7195,"PEREZ ARAMBURU, JON INAKI",SDGT
7196,"SAEZ DE EGUILAZ MURGUIONDO, CARLOS",SDGT
7197,"URANGA ARTOLA, KEMEN",SDGT
7198,"VILA MICHELENA, FERMIN",SDGT
7203,"AOUADI, MOHAMED BEN BELGACEM",SDGT
7204,"BEN HENI, LASED",SDGT
7205,"BOUCHOUCHA, MOKHTAR",SDGT
7207,"ES SAYED, ABDELKADER MAHMOUD",SDGT
7208,"ESSID, SAMI BEN KHEMAIS",SDGT
7209,"AL-FAWAZ, KHALID ABD AL-RAHMAN HAMD",SDGT
7210,"AL-MASRI, ABU HAMZA",SDGT
7211,"APAOLAZA SANCHO, IVAN",SDGT
7212,"BERASATEGUI ESCUDERO, ISMAEL",SDGT
7213,"GALLASTEGUI SODUPE, LEXURI",SDGT
7214,"PALACIOS ALDAY, GORKA",SDGT
7215,"QUINTANA ZORROZUA, ASIER",SDGT
7216,"RUBENACH ROIG, JUAN LUIS",SDGT
7217,"ZUBIAGA BRAVO, MANEX",SDGT
7220,"DA COSTA, LUIS FERNANDO",SDNTK
7221,"GONZALEZ QUIRARTE, EDUARDO",SDNTK
7222,"IBRAHIM, HAJI",SDNTK
7223,"KNOWLES, SAMUEL",SDNTK
7224,"TUITO, ODED",SDNTK
7226,"ZAMBADA GARCIA, ISMAEL",SDNTK] [ILLICIT-DRUGS-EO14059
7235,"SISON, JOSE MARIA",SDGT
7251,"BEN SOLTANE, ADEL",SDGT
7252,"BEN ATTIA, NABIL BEN MOHAMED BEN ALI",SDGT
7253,"CHEKKOURI, YASSINE",SDGT
